date,symbol,open,high,low,close,volume,source,fetchedAt,series
2024-08-20,VNFIN,1583.45,1594.53,1580.05,1588.42,243647500,vndirect_dchart_public,2026-06-08T09:01:06.148372+00:00,banking_index
2024-08-21,VNFIN,1586.39,1605.94,1582.03,1605.9,269217300,vndirect_dchart_public,2026-06-08T09:01:06.148375+00:00,banking_index
2024-08-22,VNFIN,1608.47,1612.79,1602.86,1610.18,197983200,vndirect_dchart_public,2026-06-08T09:01:06.148378+00:00,banking_index
2024-08-23,VNFIN,1612.59,1617.73,1600.74,1613.14,214293400,vndirect_dchart_public,2026-06-08T09:01:06.148382+00:00,banking_index
2024-08-26,VNFIN,1616.68,1622.1,1609.04,1614.08,264902900,vndirect_dchart_public,2026-06-08T09:01:06.148385+00:00,banking_index
2024-08-27,VNFIN,1612.64,1615.95,1604.59,1608.3,185239300,vndirect_dchart_public,2026-06-08T09:01:06.148388+00:00,banking_index
2024-08-28,VNFIN,1612.23,1617.2,1605.17,1613.84,216898900,vndirect_dchart_public,2026-06-08T09:01:06.148392+00:00,banking_index
2024-08-29,VNFIN,1615.58,1631.93,1615.58,1617.66,277692500,vndirect_dchart_public,2026-06-08T09:01:06.148395+00:00,banking_index
2024-08-30,VNFIN,1620.23,1624.25,1617.74,1623.58,177670400,vndirect_dchart_public,2026-06-08T09:01:06.148400+00:00,banking_index
2024-09-04,VNFIN,1611.83,1611.83,1596.99,1600.53,200493200,vndirect_dchart_public,2026-06-08T09:01:06.148403+00:00,banking_index
2024-09-05,VNFIN,1601.47,1605.84,1584.18,1589.02,189514900,vndirect_dchart_public,2026-06-08T09:01:06.148408+00:00,banking_index
2024-09-06,VNFIN,1588.09,1592.43,1581.78,1591.79,172203200,vndirect_dchart_public,2026-06-08T09:01:06.148412+00:00,banking_index
2024-09-09,VNFIN,1586.59,1587.38,1577.61,1582.17,131741100,vndirect_dchart_public,2026-06-08T09:01:06.148415+00:00,banking_index
2024-09-10,VNFIN,1585.27,1587.92,1561.02,1563.91,198592200,vndirect_dchart_public,2026-06-08T09:01:06.148419+00:00,banking_index
2024-09-11,VNFIN,1561.33,1567.35,1553.11,1560.2,143154300,vndirect_dchart_public,2026-06-08T09:01:06.148422+00:00,banking_index
